date,temp_max,temp_min,temp_mean,pressure_max,pressure_min,pressure_mean,humidity_max,humidity_min,humidity_mean
2020-03-31,8.8,0.0,4.122448979591838,1035,1030,1032.9183673469388,98,31,65.77551020408163
2020-04-01,6.4,-3.6,1.3818181818181816,1030,1018,1023.3636363636364,100,56,78.21212121212122
2020-04-02,11.4,2.8,7.065306122448979,1018,1011,1013.9183673469388,87,44,64.04081632653062
2020-04-03,10.9,4.4,6.842857142857141,1019,1014,1016.6530612244898,79,33,57.6530612244898
2020-04-04,15.0,1.2,8.032653061224488,1021,1018,1019.3061224489796,92,26,62.83673469387755
2020-04-05,19.5,4.8,12.253061224489793,1019,1008,1012.8367346938776,83,20,49.285714285714285
2020-04-06,16.4,6.4,11.802040816326532,1027,1008,1016.6530612244898,78,16,55.16326530612245
2020-04-07,17.3,1.2,10.120408163265305,1032,1028,1029.591836734694,93,13,55.42857142857143
2020-04-08,21.7,5.6,13.126530612244892,1028,1023,1025.265306122449,90,29,59.30612244897959
2020-04-09,21.3,6.0,13.30612244897959,1028,1024,1026.1632653061224,89,18,56.57142857142857
2020-04-10,20.0,4.4,12.43265306122449,1027,1024,1025.8979591836735,94,31,61.69387755102041
2020-04-11,23.5,6.8,14.802040816326535,1025,1020,1022.3061224489796,86,19,53.224489795918366
2020-04-12,23.5,6.4,14.122448979591837,1020,1011,1015.0612244897959,95,27,62.0
2020-04-13,7.2,4.0,5.485714285714285,1032,1020,1028.142857142857,96,39,60.10204081632653
2020-04-14,10.9,2.0,5.636734693877551,1032,1026,1029.3061224489795,84,36,57.142857142857146
2020-04-15,16.4,0.0,8.222448979591837,1026,1018,1022.5102040816327,98,13,53.755102040816325
2020-04-16,20.0,0.8,10.812244897959186,1019,1015,1016.4285714285714,88,26,57.0
2020-04-17,12.7,4.8,8.36734693877551,1019,1017,1018.0,95,38,69.40816326530613
2020-04-18,11.8,4.0,6.7857142857142865,1021,1016,1018.3469387755102,100,53,80.42857142857143
2020-04-19,15.0,3.2,8.465306122448979,1022,1020,1021.265306122449,100,26,64.57142857142857
2020-04-20,15.5,2.0,8.693877551020408,1021,1017,1018.9591836734694,95,21,61.46938775510204
2020-04-21,15.9,4.8,9.816326530612244,1020,1017,1018.265306122449,87,23,59.40816326530612
2020-04-22,19.1,3.2,10.767346938775512,1022,1019,1020.6122448979592,100,19,61.30612244897959
2020-04-23,21.7,4.0,11.755102040816324,1022,1017,1019.8571428571429,100,10,63.59183673469388
2020-04-24,17.7,4.8,10.338775510204083,1019,1014,1016.3265306122449,100,18,65.75510204081633
2020-04-25,14.5,3.6,7.897959183673469,1017,1013,1015.2448979591836,100,38,70.0
2020-04-26,19.1,2.0,10.9265306122449,1014,1008,1010.734693877551,96,23,60.38775510204081
2020-04-27,15.0,6.0,10.091836734693874,1008,1006,1006.8367346938776,88,44,65.91836734693878
2020-04-28,7.6,4.4,5.70612244897959,1007,1003,1004.3877551020408,100,62,88.83673469387755
2020-04-29,10.9,4.0,7.367346938775511,1004,994,999.3061224489796,100,63,82.61224489795919
2020-04-30,10.5,4.0,6.891836734693877,994,989,991.8571428571429,100,64,81.08163265306122
2020-05-01,13.2,4.0,8.538775510204083,1003,992,996.5918367346939,96,32,69.79591836734694
2020-05-02,14.5,4.8,9.508163265306123,1015,1003,1009.3061224489796,93,25,62.08163265306123
2020-05-03,13.2,4.4,9.377551020408166,1017,1015,1015.8979591836735,98,38,69.0204081632653
2020-05-04,14.5,4.8,9.751020408163267,1024,1017,1020.5714285714286,95,46,68.87755102040816
2020-05-05,12.7,1.6,7.365306122448981,1027,1022,1023.4897959183673,100,33,63.816326530612244
2020-05-06,17.3,0.0,8.89795918367347,1028,1025,1026.4897959183672,95,21,61.42857142857143
2020-05-07,20.9,2.8,12.687755102040814,1027,1019,1022.4897959183673,98,23,59.734693877551024
2020-05-08,22.6,8.4,16.234693877551017,1020,1015,1017.1836734693877,96,28,57.83673469387755
2020-05-09,23.5,8.4,16.630612244897957,1015,1009,1012.0204081632653,84,19,49.183673469387756
2020-05-10,10.9,3.6,7.446938775510207,1019,1007,1012.1428571428571,97,46,73.89795918367346
2020-05-11,9.2,1.6,5.412244897959185,1025,1018,1021.0816326530612,78,34,58.38775510204081
2020-05-12,11.4,-2.0,6.469387755102041,1024,1016,1019.8775510204082,95,22,58.93877551020408
2020-05-13,9.2,2.0,5.73877551020408,1023,1015,1018.204081632653,90,23,58.51020408163265
2020-05-14,11.4,0.0,6.085714285714285,1025,1023,1023.530612244898,99,28,56.59183673469388
2020-05-15,17.3,-1.2,8.928571428571427,1025,1023,1023.8367346938776,85,23,54.51020408163265
2020-05-16,15.0,4.0,9.595918367346938,1025,1023,1023.795918367347,93,32,59.3469387755102
2020-05-17,18.2,4.0,12.132653061224488,1024,1022,1023.2244897959183,91,27,59.04081632653061
2020-05-18,21.7,8.0,14.77142857142857,1024,1021,1022.5918367346939,95,20,55.0
2020-05-19,23.9,9.6,16.869387755102043,1023,1021,1022.6530612244898,97,27,61.04081632653061
2020-05-20,26.1,9.2,18.730612244897962,1022,1019,1020.9183673469388,97,33,59.775510204081634
2020-05-21,24.3,11.4,18.68571428571428,1021,1014,1018.5102040816327,100,17,54.46938775510204
2020-05-22,19.1,10.0,16.38571428571429,1018,1010,1013.9387755102041,69,24,46.857142857142854
2020-05-23,15.9,8.8,11.846938775510207,1026,1018,1021.0408163265306,82,28,59.36734693877551
2020-05-24,19.5,9.2,13.985714285714288,1035,1026,1030.3673469387754,84,44,62.183673469387756
2020-05-25,23.5,6.8,16.38571428571429,1037,1034,1035.6530612244899,96,12,52.142857142857146
2020-05-26,23.5,8.4,16.561224489795922,1038,1035,1037.1020408163265,89,17,50.46938775510204
2020-05-27,22.2,10.9,16.846938775510207,1039,1036,1037.6122448979593,80,30,53.04081632653061
2020-05-28,20.4,7.6,14.030612244897961,1039,1033,1035.8979591836735,95,24,55.16326530612245
2020-05-29,21.3,5.2,14.324489795918367,1033,1026,1029.469387755102,82,11,45.48979591836735
2020-05-30,23.5,5.2,14.840816326530613,1027,1023,1024.8367346938776,95,10,53.816326530612244
2020-05-31,22.6,6.4,15.33877551020408,1026,1024,1024.3877551020407,96,14,52.16326530612245
2020-06-01,23.9,7.2,16.00408163265306,1025,1022,1023.8775510204082,87,16,56.02040816326531
2020-06-02,22.2,7.6,15.587755102040811,1024,1013,1018.7551020408164,100,30,59.714285714285715
2020-06-03,16.8,8.0,12.44897959183673,1012,1007,1008.6326530612245,100,53,71.40816326530613
2020-06-04,13.6,7.6,9.563265306122451,1006,996,1001.1224489795918,100,34,73.20408163265306
2020-06-05,12.7,6.8,9.16326530612245,995,991,993.4897959183673,100,26,66.53061224489795
2020-06-06,11.8,4.8,7.816326530612246,1001,992,995.1428571428571,97,58,76.08163265306122
2020-06-07,12.3,6.8,9.199999999999998,1016,1001,1008.5714285714286,100,55,80.77551020408163
2020-06-08,12.3,5.6,9.293877551020408,1022,1016,1019.1224489795918,94,42,69.81632653061224
2020-06-09,17.3,2.8,11.2734693877551,1022,1018,1020.1224489795918,100,25,60.38775510204081
2020-06-10,12.3,8.8,10.24897959183674,1018,1013,1014.9795918367347,99,70,88.93877551020408
2020-06-11,17.3,8.4,11.57755102040816,1014,1010,1012.5918367346939,100,52,87.65306122448979
2020-06-12,19.1,11.4,14.926530612244898,1010,1004,1006.3469387755102,100,57,83.71428571428571
2020-06-13,23.0,10.9,17.726530612244897,1013,1005,1008.9591836734694,96,27,59.6530612244898
2020-06-14,23.5,10.9,17.720408163265304,1016,1012,1013.8571428571429,92,28,61.46938775510204
2020-06-15,23.9,10.0,17.18979591836735,1017,1015,1016.0204081632653,100,20,65.3265306122449
2020-06-16,22.6,10.9,16.683673469387756,1016,1012,1014.204081632653,97,34,71.46938775510205
2020-06-17,23.5,10.9,15.938775510204083,1014,1011,1012.8571428571429,100,34,77.22448979591837
2020-06-18,19.1,10.5,13.704081632653061,1013,1008,1009.8979591836735,100,47,83.36734693877551
2020-06-19,17.7,10.0,13.883673469387752,1019,1011,1013.8367346938776,100,47,78.89795918367346
2020-06-20,21.3,9.6,15.461224489795919,1021,1018,1019.1020408163265,100,45,71.08163265306122
2020-06-21,20.0,10.9,15.64081632653061,1023,1014,1016.8571428571429,98,34,67.22448979591837
